#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO.0051788	response to misfolded protein	3	0.000526	ENSP00000340019,ENSP00000351777,ENSP00000376965	ATXN3,HSPD1,VCP
GO.0030162	regulation of proteolysis	6	0.00211	ENSP00000302239,ENSP00000340019,ENSP00000344818,ENSP00000347184,ENSP00000351777,ENSP00000376965	ATXN3,HSPD1,HTT,UBC,USP8,VCP
GO.0009628	response to abiotic stimulus	6	0.0127	ENSP00000244769,ENSP00000340019,ENSP00000344818,ENSP00000347184,ENSP00000351777,ENSP00000376965	ATXN1,ATXN3,HSPD1,HTT,UBC,VCP
GO.0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	4	0.0175	ENSP00000302239,ENSP00000344818,ENSP00000351777,ENSP00000376965	ATXN3,UBC,USP8,VCP
GO.1903050	regulation of proteolysis involved in cellular protein catabolic process	4	0.0175	ENSP00000302239,ENSP00000344818,ENSP00000351777,ENSP00000376965	ATXN3,UBC,USP8,VCP
GO.0009894	regulation of catabolic process	5	0.0203	ENSP00000302239,ENSP00000344818,ENSP00000351777,ENSP00000354032,ENSP00000376965	ATXN3,BSCL2,UBC,USP8,VCP
GO.0045862	positive regulation of proteolysis	4	0.0203	ENSP00000340019,ENSP00000344818,ENSP00000351777,ENSP00000376965	ATXN3,HSPD1,UBC,VCP
GO.0071218	cellular response to misfolded protein	2	0.0203	ENSP00000351777,ENSP00000376965	ATXN3,VCP
GO.0006515	misfolded or incompletely synthesized protein catabolic process	2	0.0283	ENSP00000351777,ENSP00000376965	ATXN3,VCP
GO.0070987	error-free translesion synthesis	2	0.0283	ENSP00000344818,ENSP00000351777	UBC,VCP
GO.0071108	protein K48-linked deubiquitination	2	0.0283	ENSP00000302239,ENSP00000376965	ATXN3,USP8
GO.0009408	response to heat	3	0.0311	ENSP00000340019,ENSP00000351777,ENSP00000376965	ATXN3,HSPD1,VCP
GO.0070536	protein K63-linked deubiquitination	2	0.0311	ENSP00000302239,ENSP00000376965	ATXN3,USP8
GO.1903052	positive regulation of proteolysis involved in cellular protein catabolic process	3	0.0311	ENSP00000344818,ENSP00000351777,ENSP00000376965	ATXN3,UBC,VCP
GO.0044257	cellular protein catabolic process	4	0.0323	ENSP00000302239,ENSP00000344818,ENSP00000351777,ENSP00000376965	ATXN3,UBC,USP8,VCP
